Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="BioGuard",="https://finder.startupnationcentral.org/company_page/bio-guard",="Biometric Solutions",="Security Technologies",="1995",="11-50",="Mature",
="Sodyo",="https://finder.startupnationcentral.org/company_page/sodyo",="Interactive Scanning Technology",="Retail & Marketing",="2012",="11-50",="B",
="Datumate",="https://finder.startupnationcentral.org/company_page/datumate",="Construction Data Analytics Platform",="Industrial Technologies",="2012",="11-50",="Mature",
="Mobileye",="https://finder.startupnationcentral.org/company_page/mobileye",="Autonomous Driving and Driver-assist Technologies",="Smart Mobility",="1999",="500+",="Public",
="Giftedd",="https://finder.startupnationcentral.org/company_page/giftedd",="Corporate Gifting Platform","Enterprise, IT & Data Infrastructure",="2012",="1-10",="Mature",
="Inuitive",="https://finder.startupnationcentral.org/company_page/inuitive",="3D Imaging Camera Technology",="Industrial Technologies",="2012",="51-200",="E",
="EyeControl",="https://finder.startupnationcentral.org/company_page/eyecontrol",="Wearable Assistive Communication Device",="Life Sciences & HealthTech",="2016",="11-50",="A",
="Alango Technologies",="https://finder.startupnationcentral.org/company_page/alango",="Voice Processing Solutions",="Smart Mobility",="2002",="11-50",="Mature",
="Inex Technologies",="https://finder.startupnationcentral.org/company_page/inex-zamir",="Automatic License Plate Recognition",="Smart Mobility",="2001",="11-50",="Mature",
="GreenVision Systems",="https://finder.startupnationcentral.org/company_page/greenvision-systems",=" Hyperspectral Imaging Technology and Systems",="AgriFood-tech & Water",="1996",="51-200",="Mature",
="Eyeways Systems",="https://finder.startupnationcentral.org/company_page/eyeways-systems",="4D Object-based Scene Analysis",="Aerospace & Aviation",="2010",="1-10",="Mature",
="VikiSense",="https://finder.startupnationcentral.org/company_page/vikisense",="Multifactor Biometric Authentication for Physical and Financial Security",="Security Technologies",="2012",="1-10",="Mature",
="PureSight",="https://finder.startupnationcentral.org/company_page/puresight",="Digital Parenting Toolbox",="Security Technologies",="1998",="11-50",="Acquired",
="Amplio",="https://finder.startupnationcentral.org/company_page/ninispeech",="Special Education Learning Platform",="Content & Media",="2014",="51-200",="B",
="Pzartech",="https://finder.startupnationcentral.org/company_page/pzartech",="Digital Solutions for Industrial Maintenance",="Industrial Technologies",="2015",="1-10",="Seed",
="Innovo Mimetics",="https://finder.startupnationcentral.org/company_page/innovo-mimetics",="Chick Egg Assay System for Cancer Therapies",="Life Sciences & HealthTech",="2010",="1-10",="Seed",
="VoiceSense",="https://finder.startupnationcentral.org/company_page/voicesense",="Predictive Speech Analytics","Enterprise, IT & Data Infrastructure",="2016",="1-10",="A",
="NoviSign",="https://finder.startupnationcentral.org/company_page/novisign",="Digital Signage Software",="Retail & Marketing",="2011",="11-50",="Mature",
="Tactile World",="https://finder.startupnationcentral.org/company_page/tactile-world",="Computer Mouse for People with Blindness and Visual Impairment",="Life Sciences & HealthTech",="2007",="1-10",="Mature",
="Scanovate",="https://finder.startupnationcentral.org/company_page/scanovate",="Enterprise Identity and Compliance Solution",="FinTech",="2014",="11-50",="Pre-Funding",
="Voiceitt",="https://finder.startupnationcentral.org/company_page/voiceitt",="Voice Recognition Technology for Non-standard Speech",="Life Sciences & HealthTech",="2012",="11-50",="A",
="Novicod",="https://finder.startupnationcentral.org/company_page/novicod",="Embedded Connectivity Solution",="Industrial Technologies",="2012",="1-10",="Mature",
="EyeClick",="https://finder.startupnationcentral.org/company_page/eyeclick",="Interactive Entertainment Platform for Kids",="Content & Media",="2005",="51-200",="Mature",
="Spiral Frame",="https://finder.startupnationcentral.org/company_page/spiral-frame",="Movement Analysis Technology","Enterprise, IT & Data Infrastructure",="2007",="1-10",="Mature",
="VALIRE SOFTWARE",="https://finder.startupnationcentral.org/company_page/valire",="Cognitive Computing for Internal Fraud Detection",="FinTech",="2009",="1-10",="Seed",
="OrCam Technologies",="https://finder.startupnationcentral.org/company_page/orcam-technologies",="Assistive Technology for People with Vision Impairment or Reading Disabilities",="Life Sciences & HealthTech",="2010",="201-500",="E",
="Idan Computers",="https://finder.startupnationcentral.org/company_page/idan-computers","Image Analysis, CAD, and 3D-modeling Tools",="Security Technologies",="1970",="1-10",="Mature",
="Faception",="https://finder.startupnationcentral.org/company_page/faception",="Facial Personality Analytics",="Security Technologies",="2014",="11-50",="A",
="Zoomd",="https://finder.startupnationcentral.org/company_page/zoomd","Zoomd is a publicly traded (TSXV:ZOMD) global powerhouse for performance marketing, that has been providing innovative solutions to advertisers since its inception in 2007.",="Retail & Marketing",="2012",="51-200",="Public",
="DiA Imaging Analysis",="https://finder.startupnationcentral.org/company_page/DiA-Imaging-Analysis",="AI-driven Ultrasound Analysis",="Life Sciences & HealthTech",="2009",="11-50",="Acquired",
="Maradin",="https://finder.startupnationcentral.org/company_page/maradin",="Laser Scanning Solutions Based on MEMS Technology",="Smart Mobility",="2007",="11-50",="Mature",
="Intervyo",="https://finder.startupnationcentral.org/company_page/Intervyo",="Predictive Analytics for Job Candidate Suitability","Enterprise, IT & Data Infrastructure",="2015",="11-50",="Seed",
="Global Effective Education",="https://finder.startupnationcentral.org/company_page/global-effective-education",="STEM Totally Portable LabLess Lab + PATENT PENDING App for ""English Speaking Digital Teacher Assistant""",="Content & Media",="2015",="1-10",="Pre-Funding",
="L7 Defense",="https://finder.startupnationcentral.org/company_page/l7-defense",="Advanced API Protection Solutions",="Security Technologies",="2015",="11-50",="A",
="Fan-Ye Tutor",="https://finder.startupnationcentral.org/company_page/brandedpages",="Blockchain-based Decentralized Platform for Mobile Learning",="Content & Media",="2004",="1-10",="Mature",
="N.I.P UP",="https://finder.startupnationcentral.org/company_page/n-i-p-up",="Intonation-based Call Analysis for Service and Sales Centers","Enterprise, IT & Data Infrastructure",="2021",="1-10",="Pre-Funding",
="Momentick",="https://finder.startupnationcentral.org/company_page/momentick",=" GHG Emissions Intelligence",="Aerospace & Aviation",="2020",="11-50",="Seed",
="prespro.ai",="https://finder.startupnationcentral.org/company_page/prespro-ai",="AI-powered Solution for Improving Communication Skills",="Content & Media",="2021",="1-10",="Pre-Funding",
="Pixend",="https://finder.startupnationcentral.org/company_page/pixend",="Photo Sharing App",="Content & Media",="2021",="1-10",="Pre-Funding",
="Weedex",="https://finder.startupnationcentral.org/company_page/weedex",="Management Orchestration Platform for Pharmacies ",="Life Sciences & HealthTech",="2020",="1-10",="Pre-Funding",
="C-Crop",="https://finder.startupnationcentral.org/company_page/c-crop",="Measurements for Crop Optimization",="AgriFood-tech & Water",="2021",="1-10",="Seed",
="CTHal",="https://finder.startupnationcentral.org/company_page/cthal",="AI-powered Roadside Hazard Detection ",="Smart Mobility",="2022",="1-10",="Pre-Funding",
="Evolution.inc",="https://finder.startupnationcentral.org/company_page/evolution-inc",="Automatically Optimized AI Technology","Enterprise, IT & Data Infrastructure",="2019",="11-50",="Pre-Funding",
="Saiflow Cyber",="https://finder.startupnationcentral.org/company_page/saiflow-cyber",="Cybersecurity Solutions for EV Charging Sites and Energy Storage Platforms",="Security Technologies",="2022",="1-10",="Pre-Funding",
="DeeDz",="https://finder.startupnationcentral.org/company_page/deedz",="P2P Recognition and Appreciation Culture Platform for Enterprises","Enterprise, IT & Data Infrastructure",="2021",="1-10",="Pre-Funding",
="UGlabs",="https://finder.startupnationcentral.org/company_page/uglabs",="Conversational AI for Kids",="Content & Media",="2022",="11-50",="Pre-Funding",
="Compass 33",="https://finder.startupnationcentral.org/company_page/compass-33-ltd",="Access Control via Face Recognition",="Security Technologies",="2015",="1-10",="A",
="Intonation AI",="https://finder.startupnationcentral.org/company_page/intonation-ai",="Voice Pattern Recognition  for Client-centric Businesses","Enterprise, IT & Data Infrastructure",="2022",="1-10",="Pre-Funding",
="COMMUNi",="https://finder.startupnationcentral.org/company_page/communi-ltd",="AI Workplace Community Platform","Enterprise, IT & Data Infrastructure",="2021",="1-10",="Pre-Funding",
="CityEars",="https://finder.startupnationcentral.org/company_page/cityears",="AI-powered Noise-monitoring Camera",="Smart Mobility",="2021",="1-10",="Pre-Funding",
